url,note,modal_present,banner_present,tp_cookies_before,tp_cookies_after,tp_requests_before,tp_requests_after,tp_requests_total,tracking_tp_before,tracking_tp_after,tracking_tp_total,tracking_tp_additional,duration,tp_id_leaks_before,tp_cookie_sync_before,fingerprinting_before,tp_id_leaks_after,tp_cookie_sync_after,fingerprinting_after
https://telekom-dienste.de/,m,1,1,5,12,9,28,32,9,28,32,23,11,3,1,0,17,15,0
https://myhermes.de,m,1,1,0,0,6,4,9,6,4,9,3,6,0,0,0,0,0,0
https://planet-wissen.de,x,0,0,1,1,5,0,5,5,0,5,0,5,0,0,0,0,0,0
https://telefonica.de/,x,0,0,0,0,1,0,1,1,0,1,0,7,0,0,0,0,0,0
https://www.muenchen.de,x,0,0,0,0,8,1,8,8,1,8,0,6,0,0,0,0,0,0
https://accelerated.de,m,1,1,14,14,22,9,22,22,9,22,0,9,12,12,0,3,3,0
https://uni-hannover.de,x,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
https://bonn.de,,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
https://zum.de/,x,0,0,0,0,2,0,2,2,0,2,0,7,0,0,0,0,0,0
https://openstreetmap.de,x,0,0,0,0,1,0,1,1,0,1,0,6,0,0,0,0,0,0
https://barmer.de,m,1,1,0,3,0,8,8,0,8,8,8,10,0,0,0,2,0,0
https://smava.de,m,1,1,0,19,2,57,59,2,56,58,56,8,0,0,0,21,13,0
https://komoot.de,,0,1,1,1,4,11,14,4,11,14,10,12,0,0,0,0,0,0
https://belwue.de,x,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
https://sueddeutsche.de,m,1,1,0,17,3,53,54,3,53,54,51,11,1,0,0,20,15,0
https://dating-bewertung.de,x,0,0,0,0,1,3,4,1,3,4,3,6,0,0,0,0,0,0
https://www.1blu.de,m,1,1,0,37,0,76,76,0,76,76,76,5,0,0,0,93,93,0
https://fahrrad.de,m,1,1,0,4,6,22,27,6,22,27,21,13,0,0,0,3,3,0
https://prosieben.de,m,1,1,0,2,17,45,46,17,45,46,29,16,0,0,0,0,0,0
https://augsburger-allgemeine.de,m,1,1,2,35,12,126,135,12,126,135,123,6,0,0,0,69,62,0
https://bike-components.de,m,1,1,0,7,2,26,28,2,26,28,26,9,0,0,0,6,2,0
https://fh-aachen.de,m,1,1,0,0,3,0,3,3,0,3,0,6,0,0,0,0,0,0
https://verdi.de,x,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
https://www.dhm.de,m,1,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
https://antenne.de,m,1,1,0,4,4,30,32,4,30,32,28,7,0,0,0,6,5,0
https://schwarzwaelder-bote.de,m,1,1,1,26,9,71,78,9,71,78,69,10,1,0,0,31,28,0
https://haz.de,m,1,1,1,24,24,68,90,24,68,90,66,14,3,2,0,30,28,0
https://oktoberfest.de,x,0,0,0,0,7,0,7,7,0,7,0,7,0,0,0,0,0,0
https://goethe.de,m,1,1,0,5,3,19,19,3,19,19,16,15,0,0,0,2,1,0
https://rlp.de,x,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
https://teltarif.de,m,1,1,0,16,5,65,67,5,65,67,62,6,0,0,0,29,27,0
https://bvb.de,,0,1,0,0,4,10,12,4,10,12,8,9,0,0,0,0,0,0
https://tu-braunschweig.de,x,0,0,0,0,1,0,1,1,0,1,0,6,0,0,0,0,0,0
https://kino.de,m,1,1,0,43,9,130,136,9,129,135,126,5,2,1,0,169,94,0
https://easybell.de,,0,1,0,0,4,9,12,4,9,12,8,5,0,0,0,0,0,0
https://nebenan.de,,0,1,0,0,0,9,9,0,9,9,9,6,0,0,0,1,0,0
https://manitu.de,x,0,0,0,0,1,0,1,1,0,1,0,6,0,0,0,0,0,0
https://knipp.de,,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
https://brak.de,m,1,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
https://mdex.de,x,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
https://emp.de,,0,1,2,31,11,66,77,11,66,77,66,9,8,5,0,16,12,0
https://work.de/,x,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
https://datev.de,m,1,1,0,0,0,1,1,0,1,1,1,12,0,0,0,0,0,0
https://activemind.de,m,1,1,0,0,2,3,3,2,3,3,1,10,0,0,0,0,0,0
https://ruhrnachrichten.de,x,0,0,6,6,22,0,22,22,0,22,0,8,4,0,0,0,0,0
https://congstar.de/,m,1,1,0,13,17,43,56,17,43,56,39,14,0,0,0,23,20,0
https://accesstra.de,x,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
