domain,count
scripts.tracdelight.io,1
cdn.scarabresearch.com,3
events.tracdelight.io,1
image8.pubmatic.com,10
idsync.rlcdn.com,4
ads.avads.net,1
sync.sharethis.com,1
fonts.googleapis.com,13
p.rfihub.com,9
cdn.adrtx.net,7
match.adfarm1.adition.com,1
ws.rqtrk.eu,4
acdn.adnxs-simple.com,3
s3.eu-central-1.amazonaws.com,1
prg.smartadserver.com,9
api.cleverpush.com,2
se.semasio.net,2
r.scoota.co,1
vc.hotjar.io,3
sync-tm.everesttech.net,9
ad4m.at,9
images.tracdelight.io,1
ads.smartstream.tv,2
counts.yieldlab.net,1
static.cleverpush.com,7
cdn.permutive.com,6
cdn.brandmetrics.com,4
fonts.gstatic.com,11
ad.sxp.smartclip.net,2
aldinord.sc.omtrdc.net,1
hit.uptrendsdata.com,1
10345762.fls.doubleclick.net,1
ai.trk42.net,2
10132436.fls.doubleclick.net,1
pagead2.goodsyndication.de,1
signals.aimtell.com,1
103f76a7061a6163edd3b6333299ebdd.safeframe.googlesyndication.com,1
msodigital-d.openx.net,1
cdn.aimtell.com,1
cdns.yieldscale.com,1
mab.chartbeat.com,4
static.chartbeat.com,5
ping.chartbeat.net,5
856fa840.de.ioam.de,1
www.youtube.com,3
s3-eu-west-1.amazonaws.com,2
o1.ingest.sentry.siemens-web.com,1
analytics.twitter.com,4
t.co,4
assets.adobedtm.com,5
static.ads-twitter.com,4
dataplane.rum.eu-west-1.amazonaws.com,1
snap.licdn.com,6
www.linkedin.com,5
6148650.global.siteimproveanalytics.io,1
rns2.matelso.de,1
8341669.fls.doubleclick.net,1
rns.matelso.de,1
cdn1.adoberesources.net,1
nebula-cdn.kampyle.com,1
adobedc.demdex.net,1
region1.analytics.google.com,8
js.hsforms.net,1
forms.hsforms.com,1
api-na1.hubspot.com,1
static.hsappstatic.net,1
avatars.hubspot.net,1
js.hs-scripts.com,2
creativecdn.com,6
t.d.adup-tech.com,1
cdn.taboola.com,6
sp.analytics.yahoo.com,4
cm.creativecdn.com,3
amplifypixel.outbrain.com,1
trc-events.taboola.com,5
t.adcell.com,1
s.yimg.com,3
fledge-eu.creativecdn.com,3
s.d.adup-tech.com,2
trc.taboola.com,11
secure-eu.nmrodam.com,2
9860003.fls.doubleclick.net,1
j.adlooxtracking.com,1
loadus.exelator.com,4
px.moatads.com,1
z.moatads.com,1
loadm.exelator.com,5
s79.research.de.com,1
b32.s79.research.de.com,1
data00.adlooxtracking.com,1
sync.search.spotxchange.com,3
ad4.adfarm1.adition.com,1
images.intellitxt.com,1
517e704d.de.ioam.de,1
