domain,count
stats.datawrapper.de,3
fundingchoicesmessages.google.com,1
image4.pubmatic.com,10
www.fr.de,1
um.simpli.fi,11
b1h-euc1.zemanta.com,3
cdn.mookie1.com,3
at.teads.tv,3
cdn.adnxs.com,3
token.rubiconproject.com,10
vmrz0088.vm.rub.de,1
usermatch.krxd.net,1
shop.mercedes-benz.com,1
api.oneweb.mercedes-benz.com,1
d3dc1lgancj6l0.cloudfront.net,1
aggregator.service.usercentrics.eu,15
wpp.krxd.net,1
scripts.psyma.com,2
userlike-cdn-widgets.s3-eu-west-1.amazonaws.com,2
mboxedge37.tt.omtrdc.net,1
10115610.fls.doubleclick.net,1
api.userlike.com,1
s.go-mpulse.net,4
daimlerde.tt.omtrdc.net,1
cdn.krxd.net,1
consumer.krxd.net,1
assets.oneweb.mercedes-benz.com,1
beacon.krxd.net,2
test.api.oneweb.mercedes-benz.com,1
i18n.oneweb.mercedes-benz.com,1
assets.adobedtm.com,11
e-services.mercedes-benz.com,1
fast.fonts.net,2
cdn1.readspeaker.com,1
rtt.bf-tools.net,3
tt.onthe.io,1
dsum.casalemedia.com,5
c8c3489e-f329-40e8-bcfc-1f852e512b01.prmutv.co,2
3a8a2d74.de.ioam.de,1
cdn.onthe.io,1
a.bf-tools.net,3
a.bf-ad.net,3
adstax-match.adrtx.net,7
95b203cd286c09d18bbf470c03a4e80d.safeframe.googlesyndication.com,1
recommender.scarabresearch.com,3
sonata-notifications.taptapnetworks.com,1
ssbsync.smartadserver.com,6
cm.adsafety.net,5
placement.gb-next.ch,3
widgets.tracdelight.io,1
sync.taboola.com,7
scripts.tracdelight.io,1
cdn.scarabresearch.com,3
events.tracdelight.io,1
image8.pubmatic.com,10
idsync.rlcdn.com,4
ads.avads.net,1
sync.sharethis.com,1
p.rfihub.com,9
cdn.adrtx.net,7
match.adfarm1.adition.com,1
ws.rqtrk.eu,4
acdn.adnxs-simple.com,3
api.permutive.com,4
s3.eu-central-1.amazonaws.com,3
prg.smartadserver.com,9
api.cleverpush.com,2
se.semasio.net,2
r.scoota.co,1
vc.hotjar.io,3
sync-tm.everesttech.net,9
ad4m.at,10
images.tracdelight.io,1
